Subject Release Acquisition Gender Age VSPLOT_TC
125424 S1200 Q11 F 31+ 1
103515 Q1 Q02 F 26-30 2
117324 Q3 Q03 F 22-25 2
140925 S500 Q04 F 22-25 2
146634 S900 Q04 F 26-30 2
202820 S1200 Q12 F 31+ 3
473952 S500 Q07 F 31+ 3
565452 S500 Q05 F 22-25 3
857263 Q2 Q02 M 22-25 3
937160 Q1 Q01 M 26-30 3
141826 S500 Q04 F 26-30 4
144226 Q1 Q01 F 31+ 4
150524 Q3 Q03 F 26-30 4
186141 S500 Q04 M 31+ 4
333330 S900 Q10 F 31+ 4
654754 Q2 Q02 F 31+ 4
694362 S1200 Q13 F 22-25 4
120111 Q3 Q03 F 26-30 5
123824 S900 Q11 M 22-25 5
124624 S900 Q09 F 26-30 5
125525 Q1 Q01 F 31+ 5
146331 S500 Q05 F 26-30 5
153227 S900 Q12 F 31+ 5
179952 S900 Q06 F 26-30 5
196750 Q3 Q03 F 26-30 5
206323 S1200 Q12 F 31+ 5
206727 S1200 Q09 M 22-25 5
552241 S1200 Q12 M 22-25 5
835657 S900 Q11 F 31+ 5
882161 S900 Q07 F 26-30 5
123723 S1200 Q09 F 31+ 6
144125 S900 Q12 F 31+ 6
188347 Q3 Q04 F 26-30 6
208428 Q3 Q04 F 31+ 6
268850 S500 Q05 F 22-25 6
368551 S1200 Q09 M 26-30 6
529953 S900 Q10 M 26-30 6
586460 Q3 Q03 F 26-30 6
620434 S500 Q05 F 26-30 6
675661 S1200 Q12 M 31+ 6
825654 S1200 Q12 F 31+ 6
965771 S500 Q05 M 31+ 6
120414 S1200 Q12 F 26-30 7
133928 Q2 Q03 M 26-30 7
138231 Q1 Q01 F 31+ 7
160123 Q3 Q03 M 31+ 7
162026 S500 Q06 F 31+ 7
171431 S500 Q06 F 26-30 7
181636 S900 Q08 F 31+ 7
209834 S500 Q05 F 26-30 7
211922 S500 Q06 F 26-30 7
358144 S900 Q10 F 26-30 7
454140 S1200 Q12 M 31+ 7
521331 S500 Q04 F 26-30 7
727654 S900 Q03 F 22-25 7
814548 S1200 Q13 F 31+ 7
978578 Q3 Q04 F 31+ 7
103818 Q1 Q01 F 31+ 8
143830 S1200 Q06 F 26-30 8
148335 Q3 Q04 F 31+ 8
161630 S500 Q04 F 26-30 8
163836 S500 Q06 F 31+ 8
